Id,Answer
0,-1
1,-1
2,0
3,0
4,-1
5,1
6,-1
7,-1
8,1
9,1
10,0
11,0
12,0
13,-1
14,1
15,-1
16,-1
17,0
18,-1
19,1
20,-1
21,1
22,0
23,-1
24,1
25,0
26,1
27,1
28,-1
29,-1
30,1
31,1
32,1
33,-1
34,-1
35,1
36,-1
37,-1
38,-1
39,1
40,-1
41,0
42,0
43,1
44,-1
45,1
46,1
47,-1
48,-1
49,1
50,0
51,1
52,-1
53,1
54,0
55,0
56,0
57,1
58,-1
59,-1
60,-1
61,0
62,1
63,1
64,0
65,1
66,-1
67,0
68,0
69,0
70,0
71,-1
72,0
73,-1
74,-1
75,0
76,0
77,1
78,0
79,1
80,1
81,0
82,-1
83,0
84,-1
85,-1
86,-1
87,0
88,-1
89,-1
90,-1
91,1
92,-1
93,0
94,-1
95,1
96,1
97,-1
98,0
99,1
100,1
101,-1
102,-1
103,1
104,0
105,1
106,0
107,-1
108,-1
109,1
110,-1
111,0
112,0
113,-1
114,-1
115,0
116,-1
117,0
118,1
119,-1
120,0
121,-1
122,0
123,1
124,-1
125,0
126,1
127,0
128,0
129,1
130,1
131,0
132,1
133,1
134,-1
135,1
136,-1
137,1
138,-1
139,0
140,1
141,1
142,-1
143,0
144,-1
145,-1
146,-1
147,0
148,1
149,1
150,-1
151,1
152,0
153,-1
154,1
155,-1
156,0
157,0
158,0
159,0
160,0
161,1
162,0
163,0
164,-1
165,-1
166,-1
167,1
168,1
169,1
170,1
171,1
172,-1
173,0
174,0
175,1
176,1
177,-1
178,0
179,-1
180,0
181,-1
182,0
183,-1
184,1
185,-1
186,-1
187,-1
188,-1
189,1
190,0
191,0
192,-1
193,1
194,1
195,-1
196,1
197,1
198,-1
199,1
200,1
201,-1
202,-1
203,-1
204,-1
205,0
206,1
207,0
208,1
209,0
210,1
211,-1
212,-1
213,-1
214,-1
215,0
216,0
217,1
218,-1
219,-1
220,1
221,1
222,0
223,-1
224,1
225,0
226,1
227,-1
228,0
229,0
230,-1
231,0
232,1
233,1
234,0
235,-1
236,0
237,0
238,-1
239,-1
240,0
241,-1
242,1
243,-1
244,-1
245,-1
246,-1
247,0
248,-1
249,0
250,1
251,1
252,-1
253,1
254,-1
255,-1
256,1
257,1
258,1
259,-1
260,1
261,1
262,-1
263,1
264,0
265,0
266,1
267,-1
268,-1
269,-1
270,0
271,0
272,1
273,1
274,-1
275,1
276,0
277,1
278,1
279,-1
280,1
281,0
282,-1
283,0
284,-1
285,-1
286,-1
287,-1
288,0
289,-1
290,-1
291,0
292,1
293,1
294,0
295,0
296,-1
297,0
298,0
299,-1
300,-1
301,0
302,0
303,0
304,0
305,1
306,1
307,-1
308,1
309,-1
310,1
311,0
312,1
313,0
314,1
315,1
316,0
317,0
318,-1
319,1
320,1
321,-1
322,0
323,1
324,1
325,-1
326,-1
327,-1
328,-1
329,-1
330,-1
331,0
332,1
333,0
334,1
335,-1
336,0
337,1
338,0
339,1
340,1
341,0
342,0
343,1
344,-1
345,0
346,0
347,1
348,1
349,0
350,-1
351,-1
352,0
353,1
354,1
355,1
356,1
357,-1
358,0
359,0
360,-1
361,-1
362,-1
363,1
364,1
365,1
366,1
367,0
368,0
369,1
370,1
371,0
372,0
373,0
374,0
375,-1
376,0
377,0
378,-1
379,1
380,1
381,-1
382,1
383,-1
384,-1
385,0
386,-1
387,0
388,0
389,-1
390,-1
391,-1
392,1
393,0
394,1
395,-1
396,1
397,-1
398,0
399,1
400,1
401,0
402,1
403,-1
404,1
405,1
406,0
407,-1
408,0
409,0
410,1
411,-1
412,0
413,1
414,0
415,1
416,-1
417,0
418,-1
419,0
420,1
421,1
422,1
423,-1
424,0
425,0
426,1
427,0
428,-1
429,0
430,-1
431,0
432,0
433,-1
434,-1
435,0
436,1
437,1
438,-1
439,0
440,1
441,1
442,1
443,1
444,-1
445,1
446,1
447,-1
448,-1
449,0
450,1
451,1
452,-1
453,-1
454,0
455,1
456,-1
457,-1
458,-1
459,1
460,1
461,-1
462,-1
463,1
464,0
465,0
466,0
467,1
468,-1
469,-1
470,0
471,0
472,-1
473,0
474,0
475,-1
476,1
477,-1
478,-1
479,-1
480,-1
481,0
482,-1
483,0
484,1
485,1
486,-1
487,1
488,0
489,1
490,1
491,1
492,1
493,-1
494,0
495,1
496,1
497,0
498,0
499,-1
500,-1
501,1
502,-1
503,-1
504,0
505,1
506,1
507,0
508,1
509,0
510,1
511,1
512,0
513,-1
514,0
515,0
516,0
517,0
518,-1
519,1
520,-1
521,0
522,-1
523,-1
524,-1
525,-1
526,1
527,0
528,1
529,1
530,-1
531,-1
532,1
533,-1
534,0
535,1
536,1
537,1
538,0
539,-1
540,1
541,-1
542,-1
543,1
544,0
545,1
546,0
547,1
548,1
549,0
550,1
551,-1
552,0
553,-1
554,0
555,-1
556,-1
557,-1
558,-1
559,-1
560,1
561,-1
562,1
563,1
564,1
565,1
566,1
567,0
568,0
569,0
570,-1
571,-1
572,-1
573,-1
574,-1
575,0
576,1
577,0
578,0
579,0
580,1
581,1
582,0
583,-1
584,-1
585,1
586,-1
587,1
588,1
589,0
590,0
591,0
592,0
593,0
594,1
595,0
596,1
597,1
598,0
599,-1
600,0
601,-1
602,1
603,0
604,-1
605,0
606,1
607,0
608,-1
609,-1
610,-1
611,0
612,0
613,1
614,0
615,-1
616,1
617,-1
618,0
619,0
620,1
621,1
622,1
623,1
624,1
625,1
626,0
627,1
628,1
629,0
630,0
631,-1
632,-1
633,1
634,0
635,-1
636,0
637,-1
638,-1
639,1
640,1
641,0
642,-1
643,0
644,0
645,1
646,-1
647,0
648,1
649,0
650,1
651,1
652,-1
653,-1
654,-1
655,-1
656,1
657,-1
658,0
659,-1
660,-1
661,-1
662,0
663,-1
664,-1
665,1
666,1
667,0
668,0
669,1
670,-1
671,1
672,0
673,1
674,0
675,0
676,-1
677,0
678,-1
679,0
680,1
681,-1
682,0
683,1
684,1
685,-1
686,0
687,0
688,1
689,0
690,0
691,1
692,1
693,1
694,1
695,0
696,-1
697,1
698,1
699,1
700,-1
701,0
702,-1
703,1
704,1
705,0
706,0
707,-1
708,-1
709,-1
710,1
711,-1
712,1
713,-1
714,0
715,1
716,0
717,-1
718,1
719,0
720,-1
721,1
722,0
723,-1
724,-1
725,0
726,-1
727,-1
728,-1
729,0
730,1
731,1
732,1
733,-1
734,-1
735,0
736,-1
737,0
738,0
739,0
740,0
741,0
742,1
743,1
744,-1
745,1
746,-1
747,-1
748,0
749,0
750,-1
751,1
752,1
753,-1
754,0
755,-1
756,0
757,1
758,1
759,-1
760,0
761,0
762,1
763,0
764,-1
765,0
766,1
767,0
768,1
769,1
770,1
771,0
772,0
773,-1
774,0
775,-1
776,-1
777,-1
778,-1
779,0
780,-1
781,-1
782,-1
783,-1
784,0
785,1
786,0
787,1
788,1
789,1
790,0
791,-1
792,0
793,1
794,-1
795,-1
796,-1
797,-1
798,0
799,1
800,-1
801,1
802,-1
803,1
804,0
805,1
806,0
807,1
808,0
809,1
810,0
811,-1
812,-1
813,1
814,0
815,-1
816,1
817,1
818,1
819,1
820,0
821,0
822,-1
823,1
824,0
825,1
826,-1
827,0
828,-1
829,1
830,-1
831,1
832,1
833,1
834,-1
835,1
836,0
837,0
838,-1
839,0
840,-1
841,1
842,-1
843,0
844,1
845,-1
846,1
847,1
848,0
849,0
850,0
851,0
852,-1
853,-1
854,1
855,-1
856,0
857,-1
858,0
859,1
860,-1
861,-1
862,0
863,1
864,0
865,1
866,0
867,1
868,0
869,0
870,1
871,-1
872,1
873,1
874,1
875,-1
876,1
877,-1
878,-1
879,-1
880,0
881,-1
882,-1
883,-1
884,1
885,-1
886,0
887,0
888,0
889,1
890,0
891,1
892,1
893,1
894,0
895,-1
896,-1
897,1
898,0
899,1
900,0
901,0
902,-1
903,0
904,0
905,-1
906,1
907,1
908,0
909,0
910,0
911,-1
912,0
913,-1
914,-1
915,-1
916,1
917,-1
918,1
919,-1
920,0
921,-1
922,-1
923,-1
924,-1
925,-1
926,-1
927,-1
928,0
929,1
930,0
931,1
932,-1
933,1
934,0
935,0
936,0
937,-1
938,-1
939,0
940,1
941,1
942,0
943,1
944,-1
945,1
946,0
947,1
948,0
949,1
950,0
951,1
952,-1
953,0
954,1
955,0
956,1
957,1
958,1
959,1
960,0
961,1
962,-1
963,1
964,0
965,1
966,1
967,-1
968,1
969,0
970,0
971,0
972,1
973,0
974,0
975,1
976,1
977,1
978,-1
979,-1
980,1
981,-1
982,0
983,-1
984,0
985,1
986,-1
987,-1
988,-1
989,0
990,-1
991,1
992,0
993,0
994,1
995,-1
996,0
997,1
998,1
999,1
1000,0
1001,-1
1002,1
1003,0
1004,1
1005,0
1006,-1
1007,1
1008,1
1009,1
1010,1
1011,-1
1012,1
1013,0
1014,-1
1015,-1
1016,0
1017,1
1018,1
1019,0
1020,-1
1021,1
1022,0
1023,1
1024,1
1025,-1
1026,0
1027,1
1028,-1
1029,0
1030,1
1031,1
1032,0
1033,0
1034,-1
1035,1
1036,0
1037,0
1038,0
1039,-1
1040,1
1041,1
1042,1
1043,-1
1044,0
1045,0
1046,0
1047,-1
1048,0
1049,-1
1050,0
1051,1
1052,1
1053,1
1054,-1
1055,-1
1056,1
1057,0
1058,1
1059,0
1060,-1
1061,1
1062,-1
1063,-1
1064,0
1065,-1
1066,1
1067,1
1068,1
1069,0
1070,0
1071,0
1072,1
1073,1
1074,-1
1075,0
1076,-1
1077,1
1078,0
1079,1
1080,1
1081,0
1082,-1
1083,0
1084,1
1085,0
1086,1
1087,1
1088,0
1089,0
1090,1
1091,0
1092,1
1093,-1
1094,-1
1095,-1
1096,0
1097,1
1098,-1
1099,1
1100,0
1101,1
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,-1
1110,0
1111,1
1112,0
1113,-1
1114,1
1115,-1
1116,0
1117,-1
1118,1
1119,0
1120,-1
1121,0
1122,-1
1123,0
1124,0
1125,0
1126,1
1127,1
1128,0
1129,1
1130,0
1131,0
1132,-1
1133,1
1134,-1
1135,-1
1136,1
1137,0
1138,1
1139,1
1140,-1
1141,0
1142,-1
1143,-1
1144,-1
1145,1
1146,-1
1147,1
1148,0
1149,-1
1150,-1
1151,0
1152,-1
1153,1
1154,-1
1155,-1
1156,1
1157,-1
1158,1
1159,-1
1160,1
1161,1
1162,0
1163,0
1164,-1
1165,0
1166,1
1167,-1
1168,0
1169,0
1170,-1
1171,1
1172,-1
1173,-1
1174,0
1175,-1
1176,1
1177,0
1178,-1
1179,0
1180,-1
1181,0
1182,0
1183,-1
1184,1
1185,1
1186,1
1187,-1
1188,-1
1189,-1
1190,1
1191,1
1192,1
1193,-1
1194,1
1195,0
1196,0
1197,1
1198,0
1199,-1
1200,-1
1201,1
1202,0
1203,-1
1204,1
1205,0
1206,1
1207,0
1208,1
1209,-1
1210,-1
1211,0
1212,1
1213,-1
1214,-1
1215,-1
1216,-1
1217,-1
1218,1
1219,1
1220,0
1221,1
1222,0
1223,-1
